"Id","SalePrice"
1461,125269.680170034
1462,161271.172370805
1463,179523.309795902
1464,198157.437413592
1465,201621.127012472
1466,174898.429871173
1467,190624.665527907
1468,163186.436378744
1469,194373.818161202
1470,123723.890185433
1471,182281.516534646
1472,98805.3807439316
1473,96993.1318842049
1474,142864.600727117
1475,117820.813366025
1476,370867.603578788
1477,259314.935073794
1478,294626.391735134
1479,287556.547177507
1480,547676.824552028
1481,333841.384913232
1482,202951.727212016
1483,179979.423154773
1484,164523.737857415
1485,180068.617803812
1486,190176.999824014
1487,338959.688159214
1488,223186.834126677
1489,198726.089556768
1490,245043.225475258
1491,194807.794715615
1492,93169.9714943205
1493,163000.203333469
1494,287226.389461967
1495,288503.096001572
1496,233390.277588224
1497,187268.646384155
1498,191943.772734659
1499,161626.278602235
1500,156951.893387455
1501,179180.508271047
1502,154175.453574022
1503,378746.931015904
1504,240887.511710814
1505,226295.85887185
1506,195853.688714791
1507,258260.784698848
1508,199587.195047963
1509,154638.93534456
1510,146224.284474799
1511,180349.803779747
1512,186714.217708617
1513,145021.391717999
1514,170376.31806909
1515,193504.502062277
1516,147073.524274856
1517,173649.210909697
1518,135783.970478478
1519,214941.829867407
1520,131105.569452529
1521,136135.562564215
1522,173469.807834868
1523,117466.127484287
1524,122078.57280333
1525,121377.432313022
1526,115025.06594492
1527,112506.870474073
1528,136851.114079901
1529,147341.82490077
1530,207853.597656951
1531,110208.426442747
1532,95441.2959008176
1533,149265.25796806
1534,126443.21986592
1535,139271.537973253
1536,107012.684886568
1537,59025.665699781
1538,143318.63618691
1539,196964.532725721
1540,78277.8867593612
1541,139256.66524322
1542,152339.636793266
1543,183364.81171079
1544,86249.5769974064
1545,118538.370483587
1546,134586.277267864
1547,132944.002629482
1548,143859.075773649
1549,124452.054611944
1550,131017.597911699
1551,104710.305212812
1552,134731.370483935
1553,140460.548600888
1554,120659.092528959
1555,163467.015736469
1556,81596.7321972715
1557,125177.925973177
1558,110697.679776404
1559,64202.1856286062
1560,130826.701855135
1561,110424.431325034
1562,135698.224448809
1563,123584.26159077
1564,158497.683097179
1565,143240.259848263
1566,235505.553120773
1567,82558.0431768466
1568,239216.405848147
1569,129712.01822163
1570,131974.075797083
1571,110498.761636955
1572,141062.075714067
1573,223137.256403951
1574,116087.170674655
1575,222708.616535005
1576,227913.199817038
1577,178057.435310192
1578,150076.729559
1579,148390.589161532
1580,192820.830052043
1581,153960.041584774
1582,128011.137609716
1583,302634.613055154
1584,220123.123343347
1585,138123.338023751
1586,86947.5689078772
1587,109235.341502002
1588,146773.416197714
1589,98048.1868095881
1590,131759.272087241
1591,93296.0639799308
1592,112040.815134453
1593,130359.014020488
1594,136106.535127078
1595,108974.534380259
1596,236570.173227276
1597,201203.586069309
1598,226921.812315874
1599,169651.770736036
1600,157915.943843076
1601,77053.8280492373
1602,120972.092264149
1603,59083.5939698508
1604,272750.388274572
1605,229097.381699295
1606,163541.623713325
1607,191371.495384026
1608,208633.995766628
1609,186673.108230504
1610,156487.017746703
1611,131038.934964252
1612,173022.113950157
1613,165733.510015751
1614,114383.790669153
1615,88515.9221846925
1616,80163.1022671416
1617,94440.8131824054
1618,142736.169802426
1619,137882.820766951
1620,164193.883563989
1621,135576.104285403
1622,150221.302865136
1623,254023.500300346
1624,199923.102991458
1625,119185.496882791
1626,171562.596290008
1627,196647.762283134
1628,275116.020787426
1629,176212.4382303
1630,384503.712030058
1631,234575.101161617
1632,246815.626953326
1633,167381.461094517
1634,183789.483206647
1635,173319.926208188
1636,157096.093649829
1637,210529.069145384
1638,183306.638599074
1639,184170.89440501
1640,248504.181571601
1641,180935.513163328
1642,247573.635550851
1643,225851.723000505
1644,234081.06049429
1645,231176.427828149
1646,156519.545724755
1647,158896.488612505
1648,133057.701001122
1649,147219.542185613
1650,116562.895398202
1651,118771.733488961
1652,100048.644238996
1653,103861.980271981
1654,144364.810138639
1655,131234.862184066
1656,139424.752816582
1657,148391.004766714
1658,146236.049651184
1659,127723.506564866
1660,155576.734773704
1661,461401.901889354
1662,420893.489548766
1663,381721.811174827
1664,656548.618627505
1665,306039.439996217
1666,311004.719725115
1667,388932.596468873
1668,334206.890766552
1669,305212.067906436
1670,348181.048129107
1671,271934.334692976
1672,470704.756131392
1673,293968.061433915
1674,241393.506298374
1675,197983.823740539
1676,191636.820919171
1677,216876.414462249
1678,519937.649481197
1679,418381.071191826
1680,321700.373233705
1681,241221.282838348
1682,317632.036150702
1683,192647.688368818
1684,175525.101187952
1685,171955.328966055
1686,166835.679744196
1687,169114.824826875
1688,186281.465729792
1689,188836.575850735
1690,190394.325935968
1691,181640.169994215
1692,256750.466114406
1693,167717.782731556
1694,181785.663464185
1695,167988.115627879
1696,277153.032643995
1697,173596.49504018
1698,343684.06932308
1699,303588.698987842
1700,253220.597158517
1701,268717.596204192
1702,250921.524470193
1703,242050.340331636
1704,274684.619849161
1705,226368.995397919
1706,190186.307667802
1707,216754.987133174
1708,205870.753383478
1709,260306.330011161
1710,215014.273339578
1711,269665.950771585
1712,257974.592591772
1713,282653.99806376
1714,231355.816188927
1715,211819.525436865
1716,183538.639136953
1717,174701.285944486
1718,139546.917167881
1719,209552.842602022
1720,225538.312012416
1721,152095.329265604
1722,119209.387844739
1723,147113.526544021
1724,205411.804455827
1725,234768.38521886
1726,192005.819286682
1727,152759.282284094
1728,165188.135739723
1729,166946.38515869
1730,152402.777700068
1731,123261.277087043
1732,127861.730160566
1733,118107.133323888
1734,128594.627814187
1735,116719.927947902
1736,113834.699839584
1737,312565.493628488
1738,241459.048030912
1739,236590.931793101
1740,217564.875859002
1741,189254.058673068
1742,176888.223697901
1743,181732.097068488
1744,375901.957713678
1745,216269.028686039
1746,196053.998469925
1747,212595.371310273
1748,227939.026832321
1749,144043.193229203
1750,128600.68404459
1751,245210.989020089
1752,120843.574866397
1753,154248.519311321
1754,196147.737968836
1755,164589.332191094
1756,128141.906665518
1757,123235.856731443
1758,145110.132894653
1759,163485.643917362
1760,164226.787569885
1761,145869.60006345
1762,175720.463167564
1763,180663.529305267
1764,116057.682963875
1765,181495.514478009
1766,202324.671088232
1767,220758.37752512
1768,142982.989459364
1769,167972.053959564
1770,151660.611671591
1771,115371.353349399
1772,134611.139238044
1773,121479.621229209
1774,150164.194109298
